Region,PA,N,Month,Season,Year,ID,Act_score,Impact_sco,ImpactS_t1,ImpactS_t2,ImpactS_t3,ImpactS_t4,ImpactS_t5,Area,PercentBLW,Fal,Roe,Red,CWD,Mun,Sik,FCNE
North West,Cumbria,1,4,Spring,2019,2569,3,3,NA,NA,NA,NA,NA,0.438290091,0.00,1,1,1,0,0,0,1
South East,NA,1,3,Spring,2015,7590,5,5,NA,NA,NA,NA,NA,0.500843025,0.89,1,1,0,0,1,0,0
West Midlands,West Midlands,1,3,Spring,2015,7146,3,3,NA,NA,NA,NA,NA,0.501802266,0.00,1,1,0,0,1,0,1
South East,NA,1,3,Spring,2015,7488,3,3,NA,NA,NA,NA,NA,0.529034078,1.00,1,1,0,0,1,0,0
West Midlands,West Midlands,1,3,Spring,2015,7608,3,3,NA,NA,NA,NA,NA,0.54394478,0.88,1,1,0,0,1,0,1
South East,NA,1,3,Spring,2015,7496,5,5,NA,NA,NA,NA,NA,0.545401646,0.99,1,1,0,0,1,0,0
East of England,NA,1,9,Autumn,2016,7095,4,4,NA,NA,NA,NA,NA,0.560820188,0.00,1,1,0,1,1,0,0
South East,NA,1,3,Spring,2015,7497,3,3,NA,NA,NA,NA,NA,0.584909611,1.01,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7498,5,5,NA,NA,NA,NA,NA,0.597649934,1.00,1,1,0,0,1,1,0
East of England,NA,1,9,Autumn,2016,7096,4,4,NA,NA,NA,NA,NA,0.603873283,0.00,1,1,0,1,1,0,0
East of England,NA,1,3,Spring,2015,7062,4,4,NA,NA,NA,NA,NA,0.604644235,0.00,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2015,7499,5,5,NA,NA,NA,NA,NA,0.6084008,0.97,1,1,0,0,1,1,0
North West,NA,1,3,Spring,2015,7317,5,5,NA,NA,NA,NA,NA,0.622964389,0.00,1,1,1,0,0,0,0
East of England,NA,1,9,Autumn,2016,7252,3,5,NA,NA,NA,NA,NA,0.626090618,0.00,1,1,1,1,1,0,0
East of England,NA,1,3,Spring,2015,7500,4,4,NA,NA,NA,NA,NA,0.634168382,1.06,1,1,1,0,1,0,0
South East,Oxford,1,3,Spring,2015,7501,4,4,NA,NA,NA,NA,NA,0.651831749,0.95,1,1,0,1,1,0,1
West Midlands,West Midlands,1,3,Spring,2015,7609,3,3,NA,NA,NA,NA,NA,0.664828797,1.01,1,1,0,0,1,0,1
South East,NA,1,3,Spring,2015,7502,3,3,NA,NA,NA,NA,NA,0.674723278,0.97,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7503,5,5,NA,NA,NA,NA,NA,0.735555278,0.99,1,1,0,0,1,1,0
North West,Cumbria,1,4,Spring,2017,2493,3,3,1,3,NA,NA,NA,0.740715267,0.00,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2493,1,1,3,NA,NA,NA,NA,0.740715267,0.00,1,1,1,0,0,1,1
North West,Cumbria,1,4,Spring,2019,2493,3,3,NA,NA,NA,NA,NA,0.740715267,0.00,1,1,1,0,0,1,1
East Midlands,NA,1,3,Spring,2015,7640,4,3,NA,NA,NA,NA,NA,0.747382834,1.00,1,0,1,0,1,0,0
South East,NA,1,3,Spring,2015,7504,3,3,NA,NA,NA,NA,NA,0.766301233,1.00,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7505,5,5,NA,NA,NA,NA,NA,0.805528016,0.99,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7506,5,5,NA,NA,NA,NA,NA,0.814398528,1.01,1,1,0,0,1,1,0
South East,NA,1,3,Spring,2015,7507,3,3,NA,NA,NA,NA,NA,0.817494054,0.80,1,1,0,0,1,0,0
East of England,Suffolk,1,3,Spring,2019,2894,3,4,NA,NA,NA,NA,NA,0.84005511,0.88,1,1,0,0,1,0,1
East of England,NA,1,3,Spring,2013,7203,3,5,5,1,NA,NA,NA,0.841012102,0.60,1,0,1,0,1,0,0
East of England,NA,1,3,Spring,2014,7203,3,5,1,NA,NA,NA,NA,0.841012102,0.60,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2015,7203,3,1,NA,NA,NA,NA,NA,0.841012102,0.60,1,1,1,0,1,0,0
East Midlands,East Midlands,1,3,Spring,2019,3315,1,1,NA,NA,NA,NA,NA,0.841105919,1.00,0,0,0,0,1,0,1
South East,NA,1,3,Spring,2015,7586,3,5,NA,NA,NA,NA,NA,0.844856917,1.00,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7508,3,4,NA,NA,NA,NA,NA,0.856831018,1.00,1,1,0,0,1,0,0
East of England,NA,1,9,Autumn,2016,7231,4,4,NA,NA,NA,NA,NA,0.85801075,0.91,1,1,0,1,1,0,0
West Midlands,West Midlands,1,3,Spring,2015,7610,3,3,NA,NA,NA,NA,NA,0.863157366,1.12,1,1,0,0,1,0,1
North West,Cumbria,1,5,Spring,2017,2594,1,1,1,1,NA,NA,NA,0.871382391,0.92,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2594,1,1,1,NA,NA,NA,NA,0.871382391,0.92,0,1,0,0,0,0,1
North West,Cumbria,1,4,Spring,2019,2594,1,1,NA,NA,NA,NA,NA,0.871382391,0.92,1,1,1,0,0,0,1
South East,NA,1,3,Spring,2015,7509,5,5,NA,NA,NA,NA,NA,0.893845062,0.00,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7510,3,3,NA,NA,NA,NA,NA,0.91078377,1.00,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7511,2,2,NA,NA,NA,NA,NA,0.916615686,1.00,1,1,1,0,1,1,0
North West,Cumbria,1,4,Spring,2019,1323,0,0,NA,NA,NA,NA,NA,0.926041671,0.00,1,1,1,0,0,1,1
West Midlands,West Midlands,1,3,Spring,2015,7611,3,3,NA,NA,NA,NA,NA,0.982493104,0.80,1,1,0,0,1,0,1
North West,Cumbria,1,9,Autumn,2013,2518,3,4,NA,NA,NA,NA,NA,0.985629756,0.47,0,1,1,0,0,0,1
North West,Cumbria,1,3,Spring,2013,2518,3,5,NA,NA,NA,1,1,0.985629756,0.47,0,1,1,0,0,0,1
North West,Cumbria,1,5,Spring,2017,2518,1,1,1,1,NA,NA,NA,0.985629756,0.47,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2518,1,1,1,NA,NA,NA,NA,0.985629756,0.47,0,1,0,0,0,0,1
North West,Cumbria,1,4,Spring,2019,2518,1,1,NA,NA,NA,NA,NA,0.985629756,0.47,0,1,1,0,0,1,1
South East,NA,1,3,Spring,2015,7512,5,5,NA,NA,NA,NA,NA,0.98815371,3.87,1,1,0,0,1,1,0
South East,NA,1,3,Spring,2015,7513,3,3,NA,NA,NA,NA,NA,1.00598474,1.03,1,1,0,0,1,0,0
East of England,NA,1,9,Autumn,2016,7264,4,4,NA,NA,NA,NA,NA,1.040681474,0.89,1,1,0,1,1,0,0
East of England,NA,1,3,Spring,2015,7620,4,4,NA,NA,NA,NA,NA,1.044061067,0.00,1,1,1,0,1,0,0
South East,NA,1,3,Spring,2015,7514,5,5,NA,NA,NA,NA,NA,1.050799994,1.00,1,1,0,0,1,1,0
South East,NA,1,3,Spring,2015,7515,5,5,NA,NA,NA,NA,NA,1.06390125,0.93,1,1,0,0,1,0,0
East of England,NA,1,3,Spring,2014,7403,3,1,NA,NA,NA,NA,NA,1.068774953,1.00,1,1,1,0,1,0,0
Wales,NA,1,3,Spring,2014,7336,1,5,NA,NA,NA,NA,NA,1.077623727,0.00,1,1,1,1,1,0,0
London,NA,1,3,Spring,2015,7516,4,4,NA,NA,NA,NA,NA,1.088456746,0.73,1,1,1,0,1,0,0
South East,NA,1,3,Spring,2015,7517,5,5,NA,NA,NA,NA,NA,1.113740444,0.76,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7518,5,5,NA,NA,NA,NA,NA,1.123568605,2.93,1,1,0,0,1,0,0
West Midlands,West Midlands,1,3,Spring,2015,7612,3,3,NA,NA,NA,NA,NA,1.149092415,0.60,1,1,0,0,1,0,1
East of England,Suffolk,1,9,Autumn,2016,7326,3,3,NA,NA,NA,NA,NA,1.161293375,0.00,0,1,1,0,1,0,1
East of England,NA,1,3,Spring,2015,7348,3,4,NA,NA,NA,NA,NA,1.184741054,0.00,1,1,0,0,1,0,0
East of England,Suffolk,1,3,Spring,2015,1116,0,1,4,NA,3,3,NA,1.201065543,3.01,1,1,0,0,1,0,1
East of England,Suffolk,1,4,Spring,2016,1116,4,4,NA,3,3,NA,NA,1.201065543,3.01,1,1,0,0,1,0,1
East of England,Suffolk,1,4,Spring,2018,1116,3,3,3,NA,NA,NA,NA,1.201065543,3.01,1,1,0,0,1,0,1
East of England,Suffolk,1,5,Spring,2019,1116,3,3,NA,NA,NA,NA,NA,1.201065543,3.01,1,1,0,0,1,0,1
South East,NA,1,3,Spring,2015,7519,4,3,NA,NA,NA,NA,NA,1.203816362,0.67,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7587,3,5,NA,NA,NA,NA,NA,1.22548777,0.85,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7520,5,5,NA,NA,NA,NA,NA,1.243257985,4.74,1,1,0,0,1,0,0
East of England,NA,1,3,Spring,2015,7521,5,5,NA,NA,NA,NA,NA,1.250081705,2.43,1,1,0,0,1,1,0
East of England,NA,1,9,Autumn,2016,7182,4,4,NA,NA,NA,NA,NA,1.26013064,0.91,1,1,0,1,1,0,0
South East,Oxford,1,3,Spring,2015,7522,4,4,NA,NA,NA,NA,NA,1.270791788,0.00,1,1,0,1,1,0,1
South East,NA,1,3,Spring,2015,7523,5,5,NA,NA,NA,NA,NA,1.275149912,1.00,1,1,0,0,1,1,0
East of England,NA,1,3,Spring,2015,7621,5,5,NA,NA,NA,NA,NA,1.278120439,1.00,1,1,0,0,1,1,0
East of England,NA,1,3,Spring,2013,7324,3,5,5,1,NA,NA,NA,1.280301751,0.82,1,0,1,0,1,0,0
East of England,NA,1,3,Spring,2014,7324,3,5,1,NA,NA,NA,NA,1.280301751,0.82,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2015,7324,3,1,NA,NA,NA,NA,NA,1.280301751,0.82,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2013,7428,3,5,5,3,NA,NA,NA,1.286546652,0.38,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2014,7428,3,5,3,NA,NA,NA,NA,1.286546652,0.38,1,1,1,1,1,0,0
East of England,NA,1,3,Spring,2015,7428,3,3,NA,NA,NA,NA,NA,1.286546652,0.38,1,1,1,1,1,0,0
East of England,NA,1,9,Autumn,2016,7217,3,5,NA,NA,NA,NA,NA,1.294325987,0.97,1,1,1,1,1,0,0
East of England,NA,1,3,Spring,2015,7628,5,5,NA,NA,NA,NA,NA,1.29594222,0.00,1,0,1,0,1,0,0
East Midlands,East Midlands,1,12,Autumn,2017,2421,1,1,NA,NA,NA,NA,NA,1.308968047,0.59,1,0,0,0,1,0,1
East Midlands,East Midlands,1,4,Spring,2019,2421,1,1,NA,NA,NA,NA,NA,1.308968047,0.59,1,1,0,0,1,0,1
East of England,NA,1,3,Spring,2015,7594,5,5,NA,NA,NA,NA,NA,1.319133547,0.92,1,1,0,0,1,1,0
South East,NA,1,3,Spring,2015,7524,5,5,NA,NA,NA,NA,NA,1.331815506,0.90,1,1,0,0,1,1,0
East of England,NA,1,9,Autumn,2016,7250,4,4,NA,NA,NA,NA,NA,1.332511551,0.91,1,1,0,1,1,0,0
East Midlands,East Midlands,1,12,Autumn,2017,2423,3,4,NA,NA,NA,NA,NA,1.333928721,0.69,1,0,0,0,1,0,1
East Midlands,East Midlands,1,4,Spring,2019,2423,1,1,NA,NA,NA,NA,NA,1.333928721,0.69,1,1,0,0,1,1,1
East of England,NA,1,3,Spring,2014,7198,3,3,NA,NA,NA,NA,NA,1.422908927,0.00,1,1,1,0,1,0,0
North East,NA,1,3,Spring,2015,2528,1,0,0,NA,NA,NA,NA,1.464485505,0.82,0,1,0,0,0,0,0
North East,NA,1,3,Spring,2016,2528,1,0,NA,NA,NA,NA,NA,1.464485505,0.82,0,1,0,0,0,0,0
East Midlands,NA,1,3,Spring,2015,7641,4,3,NA,NA,NA,NA,NA,1.491033562,1.00,1,0,1,0,1,0,0
North West,Cumbria,1,9,Autumn,2013,2504,3,4,NA,NA,NA,NA,NA,1.519921833,0.92,0,1,0,0,0,0,1
North West,Cumbria,1,3,Spring,2013,2504,3,5,NA,NA,NA,1,1,1.519921833,0.00,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2017,2504,1,1,1,1,NA,NA,NA,1.519921833,0.00,0,1,1,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2504,1,1,1,NA,NA,NA,NA,1.519921833,0.00,0,1,1,0,0,0,1
North West,Cumbria,1,3,Spring,2019,2504,1,1,NA,NA,NA,NA,NA,1.519921833,0.00,0,1,1,0,0,0,1
West Midlands,West Midlands,1,3,Spring,2015,7613,3,3,NA,NA,NA,NA,NA,1.52236612,0.98,1,1,0,0,1,0,1
East of England,NA,1,9,Autumn,2016,7434,1,3,NA,NA,NA,NA,NA,1.523357227,0.94,1,1,1,1,1,0,0
East of England,Suffolk,1,5,Spring,2018,2391,2,3,NA,NA,NA,NA,NA,1.542341181,0.96,1,1,0,0,1,0,NA
South East,NA,1,3,Spring,2015,7525,3,3,NA,NA,NA,NA,NA,1.552054905,1.00,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7526,5,5,NA,NA,NA,NA,NA,1.55379667,3.93,1,1,0,0,1,1,0
South East,NA,1,3,Spring,2015,7527,3,4,NA,NA,NA,NA,NA,1.566829647,1.00,1,1,0,0,1,0,0
East of England,NA,1,9,Autumn,2016,7425,3,5,NA,NA,NA,NA,NA,1.590618649,0.00,1,1,1,1,1,0,0
East of England,NA,1,9,Autumn,2016,7035,4,4,NA,NA,NA,NA,NA,1.621976418,0.93,1,1,0,1,1,0,0
East of England,NA,1,3,Spring,2019,3256,1,4,NA,NA,NA,NA,NA,1.624555386,0.97,1,1,1,0,1,0,0
East of England,NA,1,9,Autumn,2016,7110,3,5,NA,NA,NA,NA,NA,1.62852444,0.92,0,1,1,0,1,0,0
East of England,NA,1,9,Autumn,2016,7000,3,5,NA,NA,NA,NA,NA,1.693124483,0.39,1,1,1,1,1,0,0
East of England,Suffolk,1,9,Autumn,2014,2451,0,1,NA,NA,NA,NA,NA,1.703184653,0.99,1,1,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2015,2451,1,1,3,NA,4,NA,NA,1.703184653,0.99,1,1,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2016,2451,3,3,NA,4,NA,NA,NA,1.703184653,0.99,1,1,0,0,1,0,1
East of England,Suffolk,1,4,Spring,2018,2451,3,4,NA,NA,NA,NA,NA,1.703184653,0.99,1,1,0,0,1,0,1
South East,NA,1,3,Spring,2015,7528,5,5,NA,NA,NA,NA,NA,1.705438713,0.54,1,1,0,0,1,0,0
East Midlands,East Midlands,1,12,Autumn,2017,2420,1,1,NA,NA,NA,NA,NA,1.731545479,0.98,0,0,0,0,1,0,1
East Midlands,East Midlands,1,3,Spring,2017,2420,3,1,NA,NA,NA,NA,NA,1.731545479,0.98,1,1,0,0,1,1,1
South East,NA,1,3,Spring,2015,7529,5,5,NA,NA,NA,NA,NA,1.769945525,1.05,1,1,0,0,1,1,0
East of England,NA,1,3,Spring,2013,7228,3,5,5,3,NA,NA,NA,1.804003004,0.93,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2014,7228,3,5,3,NA,NA,NA,NA,1.804003004,0.93,1,1,1,1,1,0,0
East of England,NA,1,3,Spring,2015,7228,3,3,NA,NA,NA,NA,NA,1.804003004,0.93,1,1,1,1,1,0,0
South East,NA,1,3,Spring,2015,7530,5,5,NA,NA,NA,NA,NA,1.807858309,1.00,1,1,0,0,1,1,0
North West,NA,1,3,Spring,2015,2527,1,0,0,NA,NA,NA,NA,1.830726112,0.00,0,1,0,0,0,0,0
North West,NA,1,3,Spring,2016,2527,1,0,NA,NA,NA,NA,NA,1.830726112,0.00,0,1,0,0,0,0,0
South East,NA,1,3,Spring,2015,7531,4,3,NA,NA,NA,NA,NA,1.841136282,0.97,1,1,0,0,1,0,0
East of England,Suffolk,1,3,Spring,2015,1115,1,1,2,NA,NA,3,NA,1.881971915,0.91,1,1,0,0,1,0,1
East of England,Suffolk,1,4,Spring,2016,1115,2,2,NA,NA,5,NA,NA,1.881971915,0.91,1,1,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2019,1115,3,3,NA,NA,NA,NA,NA,1.881971915,0.91,1,1,0,0,1,0,1
East of England,NA,1,9,Autumn,2016,7150,4,4,NA,NA,NA,NA,NA,1.882656018,0.76,1,1,0,1,1,0,0
East of England,NA,1,12,Autumn,2017,2418,2,2,NA,NA,NA,NA,NA,1.895100106,0.52,0,0,0,0,1,0,0
South East,NA,1,3,Spring,2015,7532,5,5,NA,NA,NA,NA,NA,1.914005016,1.13,1,1,0,0,1,1,0
East of England,NA,1,9,Autumn,2016,7279,3,5,NA,NA,NA,NA,NA,1.925878072,0.89,1,1,1,1,1,0,0
North West,Cumbria,1,9,Autumn,2013,2511,3,4,NA,NA,NA,NA,NA,1.948267086,0.98,0,1,0,0,0,0,1
North West,Cumbria,1,3,Spring,2013,2511,3,5,NA,NA,NA,1,1,1.948267086,0.98,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2017,2511,1,1,1,1,NA,NA,NA,1.948267086,0.98,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2511,1,1,1,NA,NA,NA,NA,1.948267086,0.98,0,1,0,0,0,0,1
North West,Cumbria,1,4,Spring,2019,2511,1,1,NA,NA,NA,NA,NA,1.948267086,0.98,0,1,1,0,0,0,1
East of England,NA,1,3,Spring,2015,7227,4,4,NA,NA,NA,NA,NA,1.951301085,0.97,1,1,1,1,1,0,0
East of England,Suffolk,1,9,Autumn,2016,2393,2,3,NA,NA,NA,NA,NA,1.977985295,0.57,1,1,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2019,2393,4,4,NA,NA,NA,NA,NA,1.977985295,0.57,1,1,0,0,1,0,1
East of England,NA,1,9,Autumn,2016,7098,1,1,NA,NA,NA,NA,NA,1.981300743,0.58,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7533,5,5,NA,NA,NA,NA,NA,1.990129712,1.37,1,1,0,0,1,1,0
South East,NA,1,3,Spring,2015,7534,5,5,NA,NA,NA,NA,NA,2.001163487,1.50,1,1,0,0,1,1,0
East of England,NA,1,3,Spring,2013,7186,3,5,5,1,NA,NA,NA,2.032718948,0.97,1,0,1,0,1,0,0
East of England,NA,1,3,Spring,2014,7186,3,5,1,NA,NA,NA,NA,2.032718948,0.97,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2015,7186,3,1,NA,NA,NA,NA,NA,2.032718948,0.97,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2015,7617,3,3,NA,NA,NA,NA,NA,2.037651463,0.92,1,1,0,0,1,1,0
South East,NA,1,3,Spring,2015,7535,5,5,NA,NA,NA,NA,NA,2.075502246,0.83,1,1,0,0,1,0,0
East of England,NA,1,3,Spring,2015,7127,4,4,NA,NA,NA,NA,NA,2.10219512,0.95,1,1,1,1,1,0,0
Wales,NA,1,3,Spring,2016,7103,3,3,NA,NA,NA,NA,NA,2.102938547,0.94,1,1,0,0,0,0,0
East of England,NA,1,3,Spring,2015,7595,5,5,NA,NA,NA,NA,NA,2.105744443,1.00,1,1,0,0,1,1,0
North West,Cumbria,1,9,Autumn,2013,2499,3,4,NA,NA,NA,NA,NA,2.121509413,0.76,0,1,1,0,0,0,1
North West,Cumbria,1,3,Spring,2013,2499,3,5,NA,NA,NA,2,2,2.121509413,0.76,0,1,1,0,0,0,1
North West,Cumbria,1,5,Spring,2017,2499,2,2,2,1,NA,NA,NA,2.121509413,0.76,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2499,2,2,1,NA,NA,NA,NA,2.121509413,0.76,0,1,0,0,0,0,1
North West,Cumbria,1,4,Spring,2019,2499,3,1,NA,NA,NA,NA,NA,2.121509413,0.76,0,1,1,0,0,1,1
South East,NA,1,3,Spring,2015,7536,3,3,NA,NA,NA,NA,NA,2.136561608,0.00,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7537,5,5,NA,NA,NA,NA,NA,2.169375614,0.81,1,1,0,0,1,0,0
East of England,NA,1,3,Spring,2013,7187,3,5,5,1,NA,NA,NA,2.18027559,0.92,1,0,1,0,1,0,0
East of England,NA,1,3,Spring,2014,7187,3,5,1,NA,NA,NA,NA,2.18027559,0.92,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2015,7187,3,1,NA,NA,NA,NA,NA,2.18027559,0.92,1,1,1,0,1,0,0
South East,NA,1,3,Spring,2015,7538,5,5,NA,NA,NA,NA,NA,2.187195749,0.98,1,1,0,0,1,1,0
East of England,Suffolk,1,3,Spring,2019,3298,5,5,NA,NA,NA,NA,NA,2.20120719,0.94,1,0,0,0,1,0,1
South East,NA,1,3,Spring,2015,7539,5,5,NA,NA,NA,NA,NA,2.211151269,1.27,1,1,0,0,1,1,0
North West,Cumbria,1,4,Spring,2017,2485,3,3,3,3,NA,NA,NA,2.245150154,0.92,1,1,1,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2485,3,3,3,NA,NA,NA,NA,2.245150154,0.92,1,1,1,0,0,0,1
North West,Cumbria,1,5,Spring,2019,2485,3,3,NA,NA,NA,NA,NA,2.245150154,0.92,1,1,1,0,0,1,1
South East,NA,1,3,Spring,2015,7540,2,2,NA,NA,NA,NA,NA,2.252468147,0.97,1,1,1,0,1,1,0
East of England,NA,1,3,Spring,2015,7185,0,5,NA,NA,NA,NA,NA,2.283774543,0.00,1,1,1,1,1,0,0
East of England,Suffolk,1,9,Autumn,2016,2054,5,5,5,5,NA,NA,NA,2.306991828,0.94,1,1,1,0,1,0,1
East of England,Suffolk,1,12,Autumn,2017,2054,5,5,5,NA,NA,NA,NA,2.306991828,0.94,1,0,0,0,1,0,1
East of England,Suffolk,1,11,Autumn,2018,2054,3,5,NA,NA,NA,NA,NA,2.306991828,0.94,1,1,0,0,1,0,1
North West,Cumbria,1,4,Spring,2017,2492,3,3,1,3,NA,NA,NA,2.36880674,0.98,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2492,1,1,3,NA,NA,NA,NA,2.36880674,0.98,0,1,0,0,0,0,1
North West,Cumbria,1,4,Spring,2019,2492,3,3,NA,NA,NA,NA,NA,2.36880674,0.98,0,1,1,0,0,1,1
North West,Cumbria,1,9,Autumn,2013,2509,3,4,NA,NA,NA,NA,NA,2.377150403,0.00,0,1,0,0,0,0,1
North West,Cumbria,1,3,Spring,2013,2509,3,5,NA,NA,NA,1,1,2.377150403,0.00,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2017,2509,1,1,1,1,NA,NA,NA,2.377150403,0.00,0,1,1,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2509,1,1,1,NA,NA,NA,NA,2.377150403,0.00,0,1,1,0,0,0,1
North West,Cumbria,1,4,Spring,2019,2509,1,1,NA,NA,NA,NA,NA,2.377150403,0.00,0,1,1,0,0,0,1
North West,Cumbria,1,4,Spring,2017,2494,3,3,1,3,NA,NA,NA,2.382519325,0.88,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2494,1,1,3,NA,NA,NA,NA,2.382519325,0.88,1,1,1,0,0,1,1
North West,Cumbria,1,4,Spring,2019,2494,3,3,NA,NA,NA,NA,NA,2.382519325,0.88,1,1,1,0,0,1,1
East of England,NA,1,9,Autumn,2016,7026,3,5,NA,NA,NA,NA,NA,2.40499038,0.91,1,1,1,1,1,0,0
East of England,Suffolk,1,3,Spring,2015,1113,3,3,5,1,5,5,NA,2.40616063,0.98,1,1,0,0,1,0,1
East of England,Suffolk,1,4,Spring,2016,1113,5,5,1,5,5,NA,NA,2.40616063,0.98,1,1,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2017,1113,1,1,5,5,NA,NA,NA,2.40616063,0.98,1,1,0,0,1,0,1
East of England,Suffolk,1,4,Spring,2018,1113,5,5,5,NA,NA,NA,NA,2.40616063,0.98,1,1,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2019,1113,5,5,NA,NA,NA,NA,NA,2.40616063,0.98,1,1,0,0,1,0,1
East of England,NA,1,3,Spring,2013,7371,3,5,5,3,NA,NA,NA,2.410694792,0.88,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2014,7371,3,5,3,NA,NA,NA,NA,2.410694792,0.88,1,1,1,1,1,0,0
East of England,NA,1,3,Spring,2015,7371,3,3,NA,NA,NA,NA,NA,2.410694792,0.88,1,1,1,1,1,0,0
East of England,Suffolk,1,9,Autumn,2016,2433,2,3,NA,NA,NA,NA,NA,2.413871861,0.96,1,1,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2017,2433,2,3,NA,NA,NA,NA,NA,2.413871861,0.96,1,1,0,0,1,0,1
South East,NA,1,3,Spring,2015,7541,5,5,NA,NA,NA,NA,NA,2.440246832,0.34,1,1,0,0,1,0,0
London,NA,1,9,Autumn,2016,7097,1,1,NA,NA,NA,NA,NA,2.446241451,0.98,1,1,0,0,1,0,0
West Midlands,West Midlands,1,3,Spring,2015,7614,3,3,NA,NA,NA,NA,NA,2.453791955,1.03,1,1,0,0,1,0,1
North West,Cumbria,1,9,Autumn,2013,2521,3,4,NA,NA,NA,NA,NA,2.470269629,0.93,0,1,1,0,0,0,1
North West,Cumbria,1,3,Spring,2013,2521,3,5,NA,NA,NA,1,0,2.470269629,0.93,0,1,1,0,0,0,1
North West,Cumbria,1,5,Spring,2017,2521,1,1,0,1,NA,NA,NA,2.470269629,0.93,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2521,0,0,1,NA,NA,NA,NA,2.470269629,0.93,0,1,1,0,0,1,1
North West,Cumbria,1,4,Spring,2019,2521,1,1,NA,NA,NA,NA,NA,2.470269629,0.93,0,1,1,0,0,1,1
East of England,NA,1,3,Spring,2015,7618,4,4,NA,NA,NA,NA,NA,2.485559629,0.98,1,1,1,0,1,0,0
East of England,Suffolk,1,9,Autumn,2016,2053,4,4,4,3,NA,NA,NA,2.500477745,0.93,1,1,1,0,1,0,1
East of England,Suffolk,1,12,Autumn,2017,2053,4,4,3,NA,NA,NA,NA,2.500477745,0.93,1,0,0,0,1,0,1
East of England,Suffolk,1,11,Autumn,2018,2053,3,3,NA,NA,NA,NA,NA,2.500477745,0.93,1,0,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2015,2053,4,4,NA,NA,NA,NA,NA,2.500477745,0.93,1,1,1,0,1,0,1
East of England,NA,1,3,Spring,2015,7622,5,5,NA,NA,NA,NA,NA,2.518134102,0.70,1,1,0,0,1,1,0
South East,NA,1,3,Spring,2015,7542,5,5,NA,NA,NA,NA,NA,2.551333373,1.00,1,1,0,0,1,0,0
North West,Cumbria,1,5,Spring,2017,2591,1,1,1,1,NA,NA,NA,2.558853043,0.86,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2591,1,1,1,NA,NA,NA,NA,2.558853043,0.86,0,1,0,0,0,0,1
North West,Cumbria,1,4,Spring,2019,2591,1,1,NA,NA,NA,NA,NA,2.558853043,0.86,1,1,1,0,0,0,1
East Midlands,East Midlands,1,12,Autumn,2017,2424,3,4,NA,NA,NA,NA,NA,2.559018012,0.72,1,0,0,0,1,0,1
East Midlands,East Midlands,1,3,Spring,2015,2424,4,4,NA,NA,NA,3,NA,2.559018012,0.72,1,1,0,0,1,1,1
