Region,PA,N,Month,Season,Year,ID,Act_score,Impact_sco,ImpactS_t1,ImpactS_t2,ImpactS_t3,ImpactS_t4,ImpactS_t5,Area,PercentBLW,Fal,Roe,Red,CWD,Mun,Sik,FCNE
East of England,Suffolk,1,3,Spring,2015,1187,5,5,4,1,NA,NA,NA,11.48911937,0.99,1,1,1,0,1,0,1
East of England,Suffolk,1,4,Spring,2016,1187,4,4,1,NA,NA,NA,NA,11.48911937,0.99,1,1,1,0,1,0,1
East of England,Suffolk,1,6,Spring,2017,1187,1,1,NA,NA,NA,NA,NA,11.48911937,0.99,0,0,0,0,1,0,1
East of England,Suffolk,1,9,Autumn,2016,2449,3,3,NA,NA,NA,NA,NA,11.52270566,0.96,1,1,0,0,1,0,1
East Midlands,East Midlands,1,5,Spring,2019,933,5,5,NA,NA,NA,NA,NA,11.56168877,0.96,1,0,0,0,1,0,1
South East,NA,1,3,Spring,2015,7568,5,5,NA,NA,NA,NA,NA,11.5701978,1.28,1,1,0,0,1,1,0
North West,Cumbria,1,5,Spring,2017,2535,2,2,1,1,NA,NA,NA,11.69071701,1.05,0,1,1,0,0,1,1
North West,Cumbria,1,4,Spring,2018,2535,1,1,1,NA,NA,NA,NA,11.69071701,1.05,0,1,1,0,0,0,1
North West,Cumbria,1,4,Spring,2019,2535,3,1,NA,NA,NA,NA,NA,11.69071701,1.05,0,1,1,0,0,1,1
Wales,NA,1,3,Spring,2016,7106,4,4,NA,NA,NA,NA,NA,11.82929347,0.17,1,1,0,0,0,0,0
East Midlands,East Midlands,1,9,Autumn,2016,845,2,2,NA,NA,NA,NA,NA,11.85740408,0.99,1,1,1,0,1,0,1
East Midlands,East Midlands,1,3,Spring,2015,845,3,3,NA,NA,NA,3,NA,11.85740408,0.99,1,1,1,0,1,0,1
East Midlands,East Midlands,1,4,Spring,2019,845,3,3,NA,NA,NA,NA,NA,11.85740408,0.99,1,0,0,0,1,0,1
East of England,NA,1,3,Spring,2014,7010,1,1,NA,NA,NA,NA,NA,11.89168285,0.98,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2015,7638,5,5,NA,NA,NA,NA,NA,11.9825494,0.00,1,1,1,0,1,0,0
East of England,Suffolk,1,4,Spring,2016,1110,5,5,5,5,4,NA,NA,12.02093264,0.98,1,1,0,0,1,0,1
East of England,Suffolk,1,5,Spring,2017,1110,4,5,5,4,NA,NA,NA,12.02093264,0.98,1,0,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2018,1110,5,5,4,NA,NA,NA,NA,12.02093264,0.98,1,1,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2019,1110,4,4,NA,NA,NA,NA,NA,12.02093264,0.98,1,1,0,0,1,0,1
North East,NA,1,3,Spring,2015,7092,5,5,NA,NA,NA,NA,NA,12.08550997,0.97,1,1,0,0,0,0,0
East of England,NA,1,9,Autumn,2016,7028,5,5,NA,NA,NA,NA,NA,12.13031721,0.98,1,1,0,1,1,0,0
East of England,NA,1,3,Spring,2010,7028,5,5,3,5,3,1,NA,12.13031721,0.98,0,0,0,1,0,0,0
East of England,NA,1,3,Spring,2011,7028,5,3,5,3,1,NA,NA,12.13031721,0.98,0,0,0,1,0,0,0
East of England,NA,1,3,Spring,2012,7028,5,5,3,1,NA,NA,NA,12.13031721,0.98,0,0,0,1,0,0,0
East of England,NA,1,3,Spring,2013,7028,5,3,1,NA,NA,NA,NA,12.13031721,0.98,0,0,0,1,0,0,0
East of England,NA,1,3,Spring,2014,7028,5,1,NA,NA,NA,NA,NA,12.13031721,0.98,1,1,0,1,1,0,0
East Midlands,East Midlands,1,9,Autumn,2016,2774,3,3,NA,NA,NA,NA,NA,12.13308807,0.87,1,1,0,0,1,1,1
East Midlands,East Midlands,1,7,Spring,2017,2774,4,4,4,NA,NA,NA,NA,12.13308807,0.87,1,0,0,0,1,0,1
East Midlands,East Midlands,1,5,Spring,2018,2774,4,4,NA,NA,NA,NA,NA,12.13308807,0.87,1,0,0,0,1,0,1
East of England,NA,1,9,Autumn,2016,7395,3,2,NA,NA,NA,NA,NA,12.17386236,0.93,1,1,0,1,1,0,0
East Midlands,NA,1,4,Spring,2019,907,3,3,NA,NA,NA,NA,NA,12.20460442,0.91,1,0,0,0,1,0,0
East of England,Suffolk,1,9,Autumn,2016,1196,2,2,NA,NA,NA,NA,NA,12.22485622,0.95,1,1,1,0,1,0,1
East of England,Suffolk,1,3,Spring,2015,1196,1,1,3,NA,NA,NA,NA,12.22485622,0.95,1,1,1,0,1,0,1
East of England,Suffolk,1,3,Spring,2016,1196,0,3,NA,NA,NA,NA,NA,12.22485622,0.95,1,1,1,0,1,0,1
East Midlands,East Midlands,1,4,Spring,2019,952,5,5,NA,NA,NA,NA,NA,12.2369815,0.93,1,0,0,0,1,0,1
North West,NA,1,4,Spring,2019,2530,1,1,NA,NA,NA,NA,NA,12.2619628,0.83,0,1,0,0,0,0,0
East Midlands,East Midlands,1,9,Autumn,2016,2422,5,5,3,NA,NA,NA,NA,12.26445835,0.60,1,1,0,0,1,1,1
East Midlands,East Midlands,1,12,Autumn,2017,2422,2,3,NA,NA,NA,NA,NA,12.26445835,0.60,1,0,0,0,1,0,1
East Midlands,East Midlands,1,3,Spring,2015,2422,4,4,NA,NA,NA,2,NA,12.26445835,0.60,1,1,0,0,1,1,1
East Midlands,East Midlands,1,4,Spring,2019,2422,2,2,NA,NA,NA,NA,NA,12.26445835,0.60,1,0,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2014,2464,0,3,NA,NA,NA,NA,NA,12.35502791,0.52,0,1,1,0,1,0,1
South East,Oxford,1,4,Spring,2019,3340,3,3,NA,NA,NA,NA,NA,12.35844739,0.99,1,1,0,0,1,0,1
South East,Oxford,1,3,Spring,2018,3327,1,2,NA,NA,NA,NA,NA,12.58456229,0.75,1,1,0,0,1,0,1
Wales,NA,1,3,Spring,2016,7105,5,5,NA,NA,NA,NA,NA,12.65753653,0.25,1,1,0,0,0,0,0
Yorkshire and The Humber,NA,1,3,Spring,2015,7121,3,3,NA,NA,NA,NA,NA,12.8343248,0.98,1,1,1,0,0,0,0
East of England,NA,1,9,Autumn,2014,7283,0,5,NA,NA,NA,NA,NA,12.85128149,0.93,0,0,0,0,1,0,0
East of England,NA,1,3,Spring,2015,7283,5,5,NA,NA,NA,NA,NA,12.85128149,0.93,0,0,0,0,1,0,0
Yorkshire and The Humber,NA,1,3,Spring,2015,7093,5,3,NA,NA,NA,NA,NA,12.85936027,0.32,0,1,1,0,0,0,0
West Midlands,West Midlands,1,5,Spring,2018,2812,4,4,NA,NA,NA,NA,NA,12.89741746,0.62,1,1,0,0,1,0,1
South East,NA,1,3,Spring,2015,7569,3,3,NA,NA,NA,NA,NA,12.90241155,1.24,1,1,0,0,1,0,0
London,NA,1,3,Spring,2015,7119,1,1,NA,NA,NA,NA,NA,13.19798632,0.45,1,1,0,0,1,0,0
East Midlands,East Midlands,1,3,Spring,2015,1054,5,5,NA,NA,NA,NA,NA,13.22207739,0.77,1,1,1,0,1,0,1
East of England,NA,1,9,Autumn,2016,3226,0,1,NA,NA,NA,NA,NA,13.26530477,0.00,1,1,1,0,1,0,0
East Midlands,East Midlands,1,3,Spring,2014,1051,3,5,5,NA,NA,5,5,13.29975807,0.98,1,1,1,0,1,0,1
East Midlands,East Midlands,1,3,Spring,2015,1051,3,5,NA,NA,5,5,NA,13.29975807,0.98,1,1,1,0,1,0,1
East Midlands,East Midlands,1,4,Spring,2018,1051,5,5,5,NA,NA,NA,NA,13.29975807,0.98,1,1,0,0,1,0,1
East Midlands,East Midlands,1,5,Spring,2019,1051,3,5,NA,NA,NA,NA,NA,13.29975807,0.98,1,1,0,0,1,0,1
North West,Cumbria,1,9,Autumn,2013,2516,3,4,NA,NA,NA,NA,NA,13.32207361,0.89,0,1,1,0,0,0,1
North West,Cumbria,1,3,Spring,2013,2516,3,5,NA,NA,NA,1,1,13.32207361,0.89,0,1,1,0,0,0,1
North West,Cumbria,1,5,Spring,2017,2516,1,1,1,1,NA,NA,NA,13.32207361,0.89,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2516,1,1,1,NA,NA,NA,NA,13.32207361,0.89,0,1,0,0,0,0,1
North West,Cumbria,1,4,Spring,2019,2516,1,1,NA,NA,NA,NA,NA,13.32207361,0.89,0,1,1,0,0,1,1
East of England,NA,1,3,Spring,2015,7112,0,1,NA,NA,NA,NA,NA,13.42688832,0.96,0,1,0,1,1,0,0
East of England,NA,1,3,Spring,2016,7112,1,NA,NA,NA,NA,NA,NA,13.42688832,0.96,0,1,0,1,1,0,0
East of England,NA,1,9,Autumn,2016,4644,3,3,NA,NA,NA,NA,NA,13.56276887,0.98,1,1,0,0,1,0,0
North West,Cumbria,1,5,Spring,2018,2537,2,2,2,NA,NA,NA,NA,13.56287765,0.00,0,0,1,0,0,0,1
North West,Cumbria,1,4,Spring,2019,2537,2,2,NA,NA,NA,NA,NA,13.56287765,0.00,0,0,1,0,0,0,1
Yorkshire and The Humber,NA,1,3,Spring,2015,7199,3,3,NA,NA,NA,NA,NA,13.61779959,0.48,0,1,1,0,0,0,0
East of England,NA,1,3,Spring,2014,7205,3,5,5,NA,NA,NA,NA,13.63572435,0.06,1,1,0,0,1,0,0
East of England,NA,1,3,Spring,2015,7205,5,5,NA,NA,NA,NA,NA,13.63572435,0.06,1,1,0,0,1,0,0
East Midlands,East Midlands,1,4,Spring,2019,954,5,5,NA,NA,NA,NA,NA,13.66358526,0.86,1,0,0,0,1,0,1
South East,NA,1,3,Spring,2014,7004,0,3,NA,NA,NA,NA,NA,13.71008244,0.99,1,1,0,1,1,1,0
North West,Cumbria,1,5,Spring,2018,2561,1,1,1,NA,NA,NA,NA,13.73424018,0.98,0,1,0,0,0,0,1
North West,Cumbria,1,3,Spring,2019,2561,1,1,NA,NA,NA,NA,NA,13.73424018,0.98,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2017,2480,1,1,2,NA,NA,NA,NA,13.7617612,0.00,0,0,1,0,0,0,1
North West,Cumbria,1,4,Spring,2018,2480,1,2,NA,NA,NA,NA,NA,13.7617612,0.00,0,0,1,0,0,0,1
East of England,NA,1,3,Spring,2015,7115,1,1,NA,NA,NA,NA,NA,13.77528366,0.98,1,1,1,1,1,0,0
North West,Cumbria,1,4,Spring,2017,2487,3,3,3,3,NA,NA,NA,13.77697118,0.94,1,1,1,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2487,3,3,3,NA,NA,NA,NA,13.77697118,0.94,1,1,1,0,0,0,1
North West,Cumbria,1,5,Spring,2019,2487,3,3,NA,NA,NA,NA,NA,13.77697118,0.94,1,1,1,0,0,1,1
East of England,NA,1,3,Spring,2012,7351,5,1,3,5,NA,NA,NA,13.90766447,0.42,1,1,0,0,1,0,0
East of England,NA,1,3,Spring,2013,7351,5,3,5,NA,NA,NA,NA,13.90766447,0.42,1,1,0,0,1,0,0
East of England,NA,1,3,Spring,2014,7351,5,5,NA,NA,NA,NA,NA,13.90766447,0.42,1,1,0,0,1,0,0
East of England,Suffolk,1,9,Autumn,2016,865,4,4,4,NA,NA,NA,NA,13.94765866,0.99,1,1,0,0,1,0,1
East of England,Suffolk,1,9,Autumn,2017,865,3,4,NA,NA,NA,NA,NA,13.94765866,0.99,1,1,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2010,865,0,5,1,5,5,5,NA,13.94765866,0.99,0,0,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2011,865,0,1,5,5,5,NA,NA,13.94765866,0.99,0,0,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2012,865,0,5,5,5,NA,NA,NA,13.94765866,0.99,0,0,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2013,865,0,5,5,NA,NA,NA,NA,13.94765866,0.99,0,0,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2014,865,0,5,NA,NA,NA,NA,5,13.94765866,0.99,1,1,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2015,865,3,NA,NA,NA,NA,5,NA,13.94765866,0.99,1,1,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2019,865,5,5,NA,NA,NA,NA,NA,13.94765866,0.99,1,1,0,0,1,0,1
East of England,Suffolk,1,9,Autumn,2015,540,3,3,2,NA,NA,NA,NA,13.94975559,0.99,1,1,1,0,1,0,1
East of England,Suffolk,1,9,Autumn,2016,540,1,2,NA,NA,NA,NA,NA,13.94975559,0.99,1,1,1,0,1,0,1
South East,NA,1,3,Spring,2014,7194,0,5,NA,NA,NA,NA,NA,13.96890247,0.98,1,1,0,1,1,1,0
South East,NA,1,3,Spring,2014,7031,0,3,NA,NA,NA,NA,NA,13.97174423,0.88,1,1,0,0,1,1,0
North West,Cumbria,1,3,Spring,2015,7234,3,3,NA,NA,NA,NA,NA,13.97561262,0.98,1,1,1,0,0,1,1
East of England,NA,1,3,Spring,2015,7306,1,2,NA,NA,NA,NA,NA,14.14820599,1.00,1,1,0,0,1,0,0
South West,West Midlands,1,6,Spring,2018,2821,5,5,NA,NA,NA,NA,NA,14.15323069,0.97,1,0,0,0,1,0,1
East of England,NA,1,9,Autumn,2016,7377,5,5,NA,NA,NA,NA,NA,14.16700076,0.99,1,0,1,0,1,0,0
East of England,NA,1,3,Spring,2015,7184,0,5,NA,NA,NA,NA,NA,14.27019092,0.10,1,1,1,1,1,0,0
Wales,NA,1,3,Spring,2014,7044,5,3,NA,NA,NA,NA,NA,14.29400436,0.70,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2013,7311,5,5,3,5,NA,NA,NA,14.3477005,0.98,1,1,0,0,1,0,0
East of England,NA,1,3,Spring,2014,7311,3,3,5,NA,NA,NA,NA,14.3477005,0.98,1,0,1,0,1,0,0
East of England,NA,1,3,Spring,2015,7311,3,5,NA,NA,NA,NA,NA,14.3477005,0.98,1,0,1,0,1,0,0
East of England,NA,1,9,Autumn,2016,7066,3,3,NA,NA,NA,NA,NA,14.3756903,0.99,1,1,0,0,1,0,0
East of England,NA,1,3,Spring,2016,7066,2,2,NA,3,NA,NA,NA,14.3756903,0.99,1,1,0,0,1,0,0
East of England,NA,1,5,Spring,2018,7066,3,3,NA,NA,NA,NA,NA,14.3756903,0.99,1,0,0,0,1,0,0
East of England,NA,1,9,Autumn,2016,7327,3,5,NA,NA,NA,NA,NA,14.38001901,1.00,1,1,1,1,1,0,0
North West,Cumbria,1,5,Spring,2017,2598,1,1,1,1,NA,NA,NA,14.46907686,0.71,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2598,1,1,1,NA,NA,NA,NA,14.46907686,0.71,0,1,0,0,0,0,1
North West,Cumbria,1,4,Spring,2019,2598,1,1,NA,NA,NA,NA,NA,14.46907686,0.71,1,1,1,0,0,0,1
North West,Cumbria,1,5,Spring,2017,2590,2,2,2,1,NA,NA,NA,14.48736651,0.99,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2590,2,2,1,NA,NA,NA,NA,14.48736651,0.99,0,1,0,0,0,0,1
North West,Cumbria,1,4,Spring,2019,2590,1,1,NA,NA,NA,NA,NA,14.48736651,0.99,1,1,1,0,0,0,1
East of England,Suffolk,1,9,Autumn,2016,2431,3,4,NA,NA,NA,NA,NA,14.5402701,0.95,1,1,1,0,1,0,1
North East,NA,1,3,Spring,2015,2524,1,0,0,NA,NA,NA,NA,14.57984262,1.19,0,1,0,0,0,0,0
North East,NA,1,3,Spring,2016,2524,1,0,NA,NA,NA,NA,NA,14.57984262,1.19,0,1,0,0,0,0,0
East of England,NA,1,9,Autumn,2016,7440,1,1,NA,NA,NA,NA,NA,14.63244143,0.99,1,1,0,1,1,0,0
West Midlands,West Midlands,1,4,Spring,2018,2771,5,5,5,NA,NA,NA,NA,14.67744491,0.54,1,0,0,0,1,0,1
West Midlands,West Midlands,1,6,Spring,2019,2771,5,5,NA,NA,NA,NA,NA,14.67744491,0.54,1,1,0,0,1,0,1
East of England,Suffolk,1,9,Autumn,2016,1178,5,5,NA,NA,NA,NA,NA,14.74770717,0.93,1,1,1,0,1,0,1
East of England,Suffolk,1,5,Spring,2018,1178,5,5,5,NA,NA,NA,NA,14.74770717,0.93,1,0,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2019,1178,5,5,NA,NA,NA,NA,NA,14.74770717,0.93,1,0,0,0,1,0,1
East Midlands,East Midlands,1,4,Spring,2018,2659,5,5,5,NA,NA,NA,NA,14.82418083,1.72,1,0,0,0,1,0,1
